lea_id,district_name,county,data_status,excluded_from_scatter,named_outlier,inverse_grad_strong,cohort_size_2025,all_grad_2025,all_ela_2025,all_math_2025,diploma_vs_skills_gap,white_grad_2025,white_cohort_2025,white_ela_2025,white_math_2025,hispanic_grad_2025,hispanic_cohort_2025,hispanic_ela_2025,hispanic_math_2025,native_grad_2025,native_cohort_2025,native_ela_2025,native_math_2025,black_grad_2025,asian_grad_2025,swd_grad_2025,white_hisp_grad_gap,white_hisp_ela_gap,white_hisp_math_gap
4391,Snowflake Unified District,Navajo County,complete,False,False,False,225.0,88.4,58.0,51.0,33.900000000000006,90.0,170.0,62.0,56.0,,32.0,26.0,21.0,,,45.0,22.0,,,,,36.0,35.0
4244,Cave Creek Unified District,Maricopa County,complete,False,False,False,377.0,96.0,70.0,57.0,32.5,96.8,,71.0,59.0,92.9,,52.0,39.0,,,,50.0,,,90.0,3.8999999999999915,19.0,20.0
4242,Chandler Unified District #80,Maricopa County,complete,False,False,False,4362.0,92.2,66.0,58.0,30.200000000000003,96.5,2027.0,74.0,66.0,90.8,1113.0,49.0,37.0,92.3,,30.0,23.0,92.7,97.4,90.6,5.700000000000003,25.0,29.0
4410,Catalina Foothills Unified District,Pima County,complete,False,False,False,481.0,95.0,75.0,55.0,30.0,,252.0,81.0,59.0,,155.0,62.0,42.0,,,,,,,,,19.0,17.0
4370,Colorado City Unified District,Mohave County,complete,False,False,False,34.0,67.6,54.0,50.0,15.599999999999994,65.6,32.0,57.0,52.0,,,,,,,,,,,,,,
4156,Sanders Unified District,Apache County,suppressed_grad,True,False,False,57.0,,10.0,2.0,,,,,,,,,,,53.0,9.0,2.0,,,,,,
4168,Tombstone Unified District,Cochise County,suppressed_grad,True,False,False,128.0,,46.0,34.0,,,60.0,48.0,35.0,,50.0,46.0,31.0,,,,,,,,,2.0,4.0
4170,Willcox Unified District,Cochise County,suppressed_grad,True,False,False,96.0,,26.0,12.0,,,,34.0,18.0,,59.0,21.0,10.0,,,,,,,,,13.0,8.0
4171,Bowie Unified District,Cochise County,suppressed_grad,True,False,False,,,,,,,,,,,,,,,,,,,,,,,
4172,San Simon Unified District,Cochise County,suppressed_grad,True,False,False,,,,,,,,,,,,,,,,,,,,,,,
4173,St David Unified District,Cochise County,suppressed_grad,True,False,False,32.0,,42.0,21.0,,,29.0,44.0,28.0,,,43.0,,,,,,,,,,1.0,
4190,Valley Union High School District,Cochise County,suppressed_grad,True,False,False,16.0,,,,,,,,,,,,,,,,,,,,,,
4193,Williams Unified District,Coconino County,suppressed_grad,True,False,False,56.0,,24.0,9.0,,,26.0,32.0,11.0,,26.0,16.0,8.0,,,,,,,,,16.0,3.0
4194,Grand Canyon Unified District,Coconino County,suppressed_grad,True,False,False,15.0,,42.0,16.0,,,,75.0,50.0,,,33.0,11.0,,,20.0,,,,,,42.0,39.0
4195,Fredonia-Moccasin Unified District,Coconino County,suppressed_grad,True,False,False,12.0,,30.0,20.0,,,,37.0,25.0,,,,,,,,,,,,,,
4212,Hayden-Winkelman Unified District,Gila County,suppressed_grad,True,False,False,17.0,,25.0,30.0,,,,,,,14.0,28.0,34.0,,,,,,,,,,
4217,Graham County Special Services,Graham County,suppressed_grad,True,False,False,,,,,,,,,,,,,,,,,,,,,,,
4228,Duncan Unified District,Greenlee County,suppressed_grad,True,False,False,25.0,,22.0,18.0,,,21.0,25.0,25.0,,,14.0,,,,,,,,,,11.0,
4230,Morenci Unified District,Greenlee County,suppressed_grad,True,False,False,85.0,,37.0,25.0,,,16.0,53.0,53.0,,55.0,39.0,18.0,,11.0,,29.0,,,,,14.0,35.0
4231,Blue Elementary District,Greenlee County,suppressed_grad,True,False,False,,,,,,,,,,,,,,,,,,,,,,,
4238,Gila Bend Unified District,Maricopa County,suppressed_grad,True,False,False,45.0,,4.0,3.0,,,,,,,29.0,,,,12.0,12.0,12.0,,,,,,
4254,Saddle Mountain Unified School District,Maricopa County,suppressed_grad,True,False,False,205.0,,24.0,16.0,,,50.0,39.0,22.0,,125.0,19.0,13.0,,,,,,,,,20.0,9.0
4369,Peach Springs Unified District,Mohave County,suppressed_both_tests,True,False,False,,72.2,,,,,,,,,,,,72.2,,,,,,,,,
4374,Littlefield Unified District,Mohave County,suppressed_grad,True,False,False,26.0,,15.0,20.0,,,,75.0,50.0,,14.0,,14.0,,,,,,,,,,36.0
4388,Joseph City Unified District,Navajo County,suppressed_grad,True,False,False,33.0,,55.0,14.0,,,19.0,62.0,33.0,,,60.0,,,,20.0,,,,,,2.0,
4390,Pinon Unified District,Navajo County,suppressed_grad,True,False,False,89.0,,7.0,8.0,,,,,,,,,,,,6.0,7.0,,,,,,
4392,Heber-Overgaard Unified District,Navajo County,suppressed_grad,True,False,False,40.0,,43.0,30.0,,,32.0,41.0,25.0,,,50.0,50.0,,,,,,,,,-9.0,-25.0
4408,Tanque Verde Unified District,Pima County,suppressed_grad,True,False,False,163.0,,79.0,60.0,,,118.0,83.0,61.0,,35.0,66.0,48.0,,,,,,,,,17.0,13.0
4409,Ajo Unified District,Pima County,suppressed_grad,True,False,False,35.0,,12.0,14.0,,,,,,,25.0,16.0,19.0,,,,,,,,,,
4438,Ray Unified District,Pinal County,suppressed_grad,True,False,False,30.0,,24.0,8.0,,,11.0,31.0,15.0,,16.0,16.0,,,,,,,,,,15.0,
4439,Mammoth-San Manuel Unified District,Pinal County,suppressed_grad,True,False,False,40.0,,12.0,8.0,,,,25.0,24.0,,29.0,,,,,,,,,,,,
4440,Superior Unified School District,Pinal County,suppressed_grad,True,False,False,22.0,,4.0,,,,,14.0,,,16.0,,,,,,,,,,,,
4462,Patagonia Union High School District,Santa Cruz County,suppressed_grad,True,False,False,17.0,,,,,,,,,,,,,,,,,,,,,,
4471,Ash Fork Joint Unified District,Yavapai County,suppressed_grad,True,False,False,34.0,,65.0,29.0,,,20.0,86.0,57.0,,,60.0,18.0,,,,,,,,,26.0,39.0
4472,Seligman Unified District,Yavapai County,suppressed_grad,True,False,False,19.0,,31.0,31.0,,,,50.0,50.0,,,,,,,,,,,,,,
4473,Mayer Unified School District,Yavapai County,suppressed_grad,True,False,False,27.0,,14.0,13.0,,,19.0,19.0,19.0,,,,,,,,,,,,,,
4487,Cottonwood-Oak Creek Elementary District,Yavapai County,suppressed_grad,True,False,False,11.0,,36.0,9.0,,,11.0,33.0,17.0,,,33.0,,,,,,,,,,0.0,
4515,Bicentennial Union High School District,La Paz County,suppressed_grad,True,False,False,26.0,,,,,,,,,,20.0,,,,,,,,,,,,
